Date,Close,High,Low,Open,Volume,MA_Close,Volatility,Volume_Anomaly,Z_Score,Volatility_Anomaly,Anomaly,Action
,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,,,
2020-06-01,59.87333297729492,59.93333435058594,56.939998626708984,57.20000076293945,224092500,,,False,,False,False,
2020-06-02,58.770668029785156,60.57733154296875,58.06666564941406,59.64666748046875,203484000,,,False,,False,False,
2020-06-03,58.86399841308594,59.862667083740234,58.67333221435547,59.20800018310547,119242500,,,False,,False,False,
2020-06-04,57.62533187866211,59.71666717529297,57.229331970214844,59.32533264160156,133315500,,,False,,False,False,
2020-06-05,59.04399871826172,59.10133361816406,57.746665954589844,58.522666931152344,117178500,,,False,,False,False,
2020-06-08,63.327999114990234,63.33333206176758,60.61066818237305,61.266666412353516,212620500,,,False,,False,False,
2020-06-09,62.711334228515625,63.62933349609375,61.595333099365234,62.66733169555664,170823000,,,False,,False,False,
2020-06-10,68.336669921875,68.49866485595703,65.5,66.12533569335938,278451000,,,False,,False,False,
2020-06-11,64.85600280761719,67.9306640625,64.80000305175781,66.01333618164062,238747500,,,False,,False,False,
2020-06-12,62.35200119018555,65.8653335571289,60.84000015258789,65.33333587646484,251451000,,,False,,False,False,
2020-06-15,66.05999755859375,66.5893325805664,60.56666564941406,61.18600082397461,235458000,,,False,,False,False,
2020-06-16,65.47533416748047,67.52532958984375,64.15933227539062,67.4566650390625,210766500,,,False,,False,False,
2020-06-17,66.11933135986328,67.0,65.50466918945312,65.84733581542969,148362000,,,False,,False,False,
2020-06-18,66.9306640625,67.94667053222656,66.2979965209961,66.86666870117188,146278500,,,False,,False,False,
2020-06-19,66.72666931152344,67.73133087158203,66.0893325805664,67.51866912841797,130195500,,,False,,False,False,
2020-06-22,66.28800201416016,67.2586669921875,66.00133514404297,66.663330078125,95436000,,,False,,False,False,
2020-06-23,66.78533172607422,67.46666717529297,66.267333984375,66.59200286865234,95479500,,,False,,False,False,
2020-06-24,64.0566635131836,66.72533416748047,63.542667388916016,66.27400207519531,164394000,,,False,,False,False,
2020-06-25,65.73200225830078,65.73200225830078,62.47666549682617,63.61800003051758,138817500,,,False,,False,False,
2020-06-26,63.982666015625,66.33333587646484,63.65800094604492,66.31866455078125,132823500,63.695899963378906,3.2557791198640325,False,0.08807908696769014,False,False,
2020-06-29,67.29000091552734,67.33333587646484,63.23466873168945,64.60066986083984,135396000,64.06673336029053,3.2196522449951566,False,1.001122888426003,False,False,
2020-06-30,71.98733520507812,72.51266479492188,66.91533660888672,67.0999984741211,253777500,64.72756671905518,3.425221176361374,False,2.119503562609358,True,True,
2020-07-01,74.64199829101562,75.68866729736328,72.03333282470703,72.19999694824219,199903500,65.51646671295165,3.800124084828751,False,2.4013772640993127,True,True,
2020-07-02,80.57733154296875,81.86666870117188,79.04000091552734,81.43199920654297,258751500,66.664066696167,4.660008155444677,False,2.985673926459919,True,True,
2020-07-06,91.43866729736328,91.85266876220703,84.40266418457031,85.11266326904297,308548500,68.28380012512207,6.942783134915271,False,3.3350987237085565,True,True,
